Channel,Time,Voltage
0,6,0.835998
0,7,0.625277
0,8,0.480631
0,9,0.543421
0,10,0.40798
0,11,0.271882
0,12,0.202847
0,13,0.124935
0,14,0.0779255
0,15,0.0664196
0,16,0.0647759
0,17,0.0397917
0,18,0.0779255
0,19,0.0483389
0,20,0.0713507
0,21,0.0739806
0,22,0.0226972
0,23,0.0509688
0,24,0.051955
0,25,0.0664196
0,26,0.0572149
0,27,0.0539275
0,28,0.0391342
0,29,0.0378192
0,30,0.0427503
0,31,0.0489964
0,32,0.0401204
0,33,0.0407779
0,34,0.0463665
0,35,0.0601735
0,36,0.0483389
0,37,0.069707
0,38,0.0430791
0,39,0.0282858
0,40,0.0628035
0,41,0.0496539
0,42,0.0539275
0,43,0.0434078
0,44,0.044394
0,45,0.0460377
0,46,0.051955
0,47,0.0480102
0,48,0.0637897
0,49,0.0562287
0,50,0.027957
0,51,0.0226972
0,52,0.0397917
0,53,0.0480102
0,54,0.0598448
0,55,0.0647759
0,56,0.0371618
0,57,0.036833
0,58,0.0476814
0,59,0.0476814
0,60,0.0427503
0,61,0.060831
0,62,0.0296007
0,63,0.0315732
0,64,0.0529413
0,65,0.0555712
0,66,0.0591873
0,67,0.0345318
0,68,0.0338744
0,69,0.0476814
0,70,0.0447228
0,71,0.0414354
0,72,0.0480102
0,73,0.0634609
0,74,0.0286145
0,75,0.05327
0,76,0.0687208
0,77,0.036833
1,6,1.0717
1,7,0.722583
1,8,0.411925
1,9,0.235063
1,10,0.172603
1,11,0.103896
1,12,0.0752956
1,13,0.0414354
1,14,0.00100038
1,15,-0.0151079
1,16,-0.0157653
1,17,-0.0302299
1,18,-0.00984803
1,19,-0.0223401
1,20,-0.0118205
1,21,-0.0160941
1,22,-0.035161
1,23,-0.0299012
1,24,-0.0282575
1,25,-0.0203677
1,26,-0.0276
1,27,-0.0233264
1,28,-0.0272712
1,29,-0.0197102
1,30,-0.0236551
1,31,-0.0358185
1,32,-0.0345035
1,33,-0.0259563
1,34,-0.0272712
1,35,-0.018724
1,36,-0.0223401
1,37,-0.0157653
1,38,-0.0210252
1,39,-0.044037
1,40,-0.0190527
1,41,-0.0157653
1,42,-0.0282575
1,43,-0.0345035
1,44,-0.035161
1,45,-0.0325311
1,46,-0.0206964
1,47,-0.0312161
1,48,-0.0137929
1,49,-0.0105055
1,50,-0.0279287
1,51,-0.0361472
1,52,-0.0216827
1,53,-0.0295724
1,54,-0.0213539
1,55,-0.0243126
1,56,-0.0282575
1,57,-0.0266138
1,58,-0.0134642
1,59,-0.0282575
1,60,-0.0282575
1,61,-0.0134642
1,62,-0.017409
1,63,-0.0377909
1,64,-0.0335173
1,65,-0.0279287
1,66,-0.0167516
1,67,-0.0279287
1,68,-0.0328598
1,69,-0.0266138
1,70,-0.0299012
1,71,-0.0308874
1,72,-0.0299012
1,73,-0.0279287
1,74,-0.036476
1,75,-0.018724
1,76,-0.0121492
1,77,-0.0193815
2,7,-0.192627
2,8,0.399104
2,9,0.226845
2,10,0.11836
2,11,0.0489964
2,12,0.01415
2,13,0.0036303
2,14,-0.0236551
2,15,-0.0407496
2,16,-0.0460094
2,17,-0.0368047
2,18,-0.0229976
2,19,-0.0213539
2,20,-0.0154366
2,21,-0.0335173
2,22,-0.0535704
2,23,-0.0374622
2,24,-0.0381197
2,25,-0.0220114
2,26,-0.0400921
2,27,-0.0368047
2,28,-0.0361472
2,29,-0.026285
2,30,-0.0341748
2,31,-0.0476531
2,32,-0.057844
2,33,-0.0512693
2,34,-0.0361472
2,35,-0.026285
2,36,-0.0223401
2,37,-0.0279287
2,38,-0.0387771
2,39,-0.0492968
2,40,-0.0456807
2,41,-0.0325311
2,42,-0.0358185
2,43,-0.0430508
2,44,-0.0384484
2,45,-0.0377909
2,46,-0.0381197
2,47,-0.0430508
2,48,-0.0384484
2,49,-0.0381197
2,50,-0.0420645
2,51,-0.0460094
2,52,-0.0335173
2,53,-0.0374622
2,54,-0.0289149
2,55,-0.0302299
2,56,-0.0463382
